,category,author,post title
0,sports, Suraj,Gabba Streak Ends with Classic Test Win
1,tech, Sumit21,Top Emerging Technologies Trends In 2022
2,travel, Shailesh,Top 10 Places To Visit In Konkan
3,food, Suraj,Best Biryani  Restaurants In Mumbai
4,tech, Suraj,Real-time python projects to work on
5,tech, Nitesh,What is Automation in terms of IT ?
6,tech, Suraj,Top Computer Languages To Learn In 2021
7,tech, Nik,Whatâ€™s next for cloud in 2022 ? How Can you Prep ?
8,tech, Suraj,Which cloud certification is right for you?
9,sports, Suraj,Neeraj Chopra's winning throw at Tokyo 2020
10,sports, Nik,Australia beat New Zealand to win 2021 T20 World Cup
11,travel, Sumit21,Winter Tour To Spiti Valley - Best Of Himachal Pradesh
12,travel, Nik,Tourist Places to Visit in Kerala in December
13,food, Nik,7 Traditional Dishes of Kerala You Have To Try
14,food, Suraj,Foods to Try While Traveling in North India
